input,output,choices,dataset_name,id
"When I first got an e-mail account ten years ago, I received communications only from family, friends, and colleagues. Now it seems that every time I check my e-mail,I have an endless series of advertisements and other _ that do not interest me at all. If we want e-mail to continue to be useful, we need specific laws that make spamming a crime.
If lawmakers do not do something soon to prohibit spam, the problem will certainly get much worse. Computer programs allow spammers to send hundreds of millions of e-mails almost instantly. As more and more advertisers turn to spam to sell their products,individual e-mail boxes are often flooded with spam e-mails. Would people continue to use e-mail if they had to deal with an annoying amount of spam each time?
This problem is troubling individuals and companies as well. Many spam e-mails contain computer viruses that can shut down the entire network of a company. Companies rely on e-mail for their employees to communicate with each other. Spam frequently causes failures in their local communications networks, and their employees are thus unable to communicate effectively. Such a situation results in a loss of productivity and requires companies to repeatedly repair their networks. These computer problems raise production costs of companies, which are, in the end, passed on to the consumer.
For these reasons, I believe that lawmakers need to legislate against spare. Spammers should be fined, and perhaps sent to prison if they continue to disturb people. E-mail is a tool which helps people all over the world to communicate conveniently, but spam is destroying this convenience.
According to the text, what is the major cause of the flooding spam?
A) Companies rely on e-mail for communications.
B) More people in the world communicate by e-mail.
C) Many computer viruses contain spam e-mail.
D) More advertisers begin to promote sales through spam.",D,A|||B|||C|||D,race,46109.0
"Solution 1: Loop the rope from the hammock around one tree. Tie it to secure the hammock to the tree. Repeat for the other end to the same tree.
Solution 2: Loop the rope from the hammock around one tree. Tie it to secure the hammock to the tree. Repeat for the other end to the other tree.

Goal: To hang a hammock between two trees.

Given the goal, what is the correct solution?

Answer by copying the correct solution",Loop the rope from the hammock around one tree. Tie it to secure the hammock to the tree. Repeat for the other end to the other tree.,Loop the rope from the hammock around one tree. Tie it to secure the hammock to the tree. Repeat for the other end to the same tree.|||Loop the rope from the hammock around one tree. Tie it to secure the hammock to the tree. Repeat for the other end to the other tree.,piqa,14697.0
"Article: You're finishing up your history homework when your cell phone rings. You've got 30 minutes to reach head-quarters, get your equipment packed and receive your task. There's a lost hiker in the mountains near the edge of town. Your task: find the missing person; provide emergency medical treatment, if necessary; and be prepared to operate 48 hours on your own with only the supplies you carry.
Sounds like some kind of film's plot? Not if you're a member of the Arapahoe teen rescue patrol in the suburbs of Denver. About 25 teen guys and girls are active members of this search, rescue and emergency organization, and they know firsthand that you don't have to be an adult to save lives.
These 9th-through-12th graders are the real deal when it comes to emergency services. In fact, they're the only teen-commanded patrol in the nation. Sure they have adult advisers to turn to if necessary, but in the field it's a teen patrol officer calling the shots -- sometimes even giving direction to adults.
Members are trained in rock-high-angle,swift-water and avalanche rescue  , winter and alpine operation , wilderness life support and emergency care, among other skills. They also regularly ride along with the local fire and police departments, providing support such as security details and evidence searching.
When asked what qualities make a good patrol member, founder and president Stan Bush named good physical conditioning and an interest in helping people. ""We put in lots and lots of hours helping people in trouble,"" he says. ""So if a person is not really interested in doing that kind of thing, he won't last as a member.""
Question: If you want to become a good rescue patrol member, you must   _  .
Yes or no, is the answer ""be strong and interested in offering help""?",No,Yes|||No,race,16349.0
"First of all I saw this resturaurant on diners drive ins and dives. I thought I'd give it a try. I ordered the hard shell carne Asada tacos, they were awful. They tasted like rubber just very bland. I think the meat might have been over cooked. Needless to say I will not be returning
So I would like to give it",1 star,1 star|||2 stars|||3 stars|||4 stars|||5 stars,yelp,31221.0
"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star . The sentiment expressed for the movie is",negative,negative|||positive,rotten_tomatoes,7579.0
What emotion does the following message express? i seriously feel so blessed for the support that i have at home it s amazing,love,sadness|||joy|||love|||anger|||fear|||surprise,emotion,208.0
"What key details about sebastian selke
 can be extracted from the following bio?

Bio: sebastian selke -lrb- born 22 february 1974 -rrb- is retired a germany football goalkeeper .","- fullname is sebastian selke



- years is 0000 2002 2002 -- 2005 2005 -- 2006 2006 -- 2007 -- 2007 -- 2008 1992 1992 -- 1994 2000 -- 2001



- name is sebastian selke



- youthclubs is sc 09 uelzen lüneburger sk



- youthyears is 0000 -- 1992 1992 -- 1994



- position is goalkeeper



- height is 1.90



- caps is 89 4 14 7 29



- clubs is sc bochum ii kfc uerdingen 05 schwarz-weiß essen ssvg velbert kfc 09 uerdingen 05 uelzen lüneburger sk kfc uerdingen 05 vfl



- birth date is 22 february 1974



- managerclubs is fc vaduz





- manageryears is 2012



- goals is 0 0 0 0 0",,wiki_bio,23413.0
"If you were looking for a cold blooded animal a donkey would be
- a stuffed animal
- the wrong animal
- the right animal
- a fictional animal",the wrong animal,a stuffed animal|||the wrong animal|||the right animal|||a fictional animal,openbookqa,3883.0
"Everything was amazing. We got the bruschetta: you get to pick for different kinds and a panini to share. We got the iron and it is giant and delicious. More than enough food for the two of us. The wine is great. We went for happy hour $5 a glass so we just got a bottle for $20 - I'll be back!
===
Based on that, my rating is",5 stars,1 star|||2 stars|||3 stars|||4 stars|||5 stars,yelp,23716.0
"I live closeby so I've been there dozens of times. I usually get chicken with broccoli or moo goo gai pan. My sister Vi usually gets moo shoo pork. The food is excellent American Chinese cuisine. The broccoli is always cooked perfectly, it is nice and bright green and firm yet not tough to chew. The chicken breast is always light and lean. Love the garlic white sauce used on the moo goo gai pan. Vi loves the plum sauce. There are several Chinese restaurants in Carrick and Mt. Oliver and I'd rate this one the best. I wish the broth used in the wonton soup was a bit richer and the egg rolls would be better if they were lighter.
===
Based on that, my rating is",3 stars,1 star|||2 stars|||3 stars|||4 stars|||5 stars,yelp,1062.0
"Carson: I looked thru our old instagram pictures
Connor: Hows that? 
Carson: They're all so bad quality omg 
Connor: What a creep xd
Connor: Haha
Connor: TIme flies eh!
Carson: It does omg 
Carson: All of shit we've done at Quapelle Hall 
Connor: I remember half of these nights ;) 
Carson: haha
Connor: Are we ever going back to these times
Carson: We're old balls now
Connor: xd 
Carson: We have to!
Carson: Like soon! Getting together with our girls (and boys xd)! 
Connor: Sounds splendid
Given the above dialogue, write a summary.",Carson is going through old photos. Carson and Connor used to party together at Quapelle Hall. They want to meet up soon.,,samsum,12419.0
"You are considering whether to buy a product. You look at the reviews. Would the following review decrease or increase the chances of you buying the product?
Review title: Unfortunately, it's noisy
Product review: I really liked this model. It played our DVDs and DivX movies very well. It started up quickly, its settings were well-designed, and it seemed sturdy.So why did I return it? Because it was noisy. We could clearly hear it running during movies. My old Liteon (non-upscaling) player was much quieter, and the new Sony and LG players we tried were virtually silent.Too bad. I liked everything else about the Pioneer, but the noise was a showstopper.",decrease,decrease|||increase,amazon,34090.0
"Media playback is not supported on this device
The pair gained a lap on the field in a thrilling madison race as New Zealand claimed silver and Germany took bronze.
Britain's Elinor Barker won bronze in the women's points race, but Jason Kenny failed to place in the keirin.
Great Britain's medal haul stands at three gold and one bronze, with Olympic champion Laura Trott, 22, leading the omnium heading into the final day.
Trott made an excellent start, winning two of the first three races in the six-discipline event - but she was pushed all the way by Dutchwoman Kirsten Wild, who is just two points behind the Briton.
The omnium resumes on Sunday with the 500m time trial, the flying lap and the 25km points race still to go.
Doull, 21, and Christian, 24, who won team pursuit gold on Friday, had to dig deep to prevent Australia taking a lap in the final moments of the 120-lap madison and deny them victory.
""The crowd lifts you so much,"" said Doull. ""Usually when the lactic acid kicks in and you're really suffering, the noise carries you. It's unbelievable.""
Barker, 20, who claimed gold in the women's team pursuit on the opening day, attempted to snatch the points required to repeat her silver at the Commonwealth Games with a late attack in the 80-lap points race, but was caught with a lap to go.

TL;DR:",Great Britain's Owain Doull and Mark Christian won gold on day two of the UCI Track Cycling World Cup in London.,,xsum,3611.0
"First, please read the article below.

Running through until late Saturday night, the festival's acts include Skye musicians, DJs and bands such as Niteworks.
Also performing over the two days will be King Creosote, Public Service Broadcasting, Donnie Munro, Skipinnish, Capercaillie and The Revenge.
Skye-born stunt cyclist Danny MacAskill and his Drop and Roll show will also feature during the festival.

Now, can you write me an extremely short abstract for it?",The Skye Live music festival has opened in Portree.,,xsum,37565.0
"Read the following context and choose the correct option to answer the question.
Context: As it turned out, Greg would have had a hard time canceling the check, even if he'd changed his mind. Chloe's crew had already sprung into action as soon as they left the building. The company used a computer controlled switchboard to route phone calls and this immediately went down, same for their Internet access. Meanwhile, a crude but effective denial of service attack was launched against their company Web site. If Greg decided to use his cell phone there wasn't much they could do, but the hope was that he'd be so tied up with all this other crap that he wouldn't have time to think of that.
Paul didn't think any of that was necessary. Greg had given in and he wasn't going to call and cancel the check now. He'd agreed for a reason, and once Greg had a reason for making a decision it was usually impossible to change his mind. And it didn't make sense anyway. All he would have done is buy himself a little more time. Chloe and Paul would just march right back in and start all over again - probably after sending out pics of Evan in drag to all the employees. From his point of view, there was no reason for Greg to do that.
Of course, it was still a huge risk for Chloe and Paul. If Greg just wanted a delay to get the lawyers involved, then they were in trouble. Chloe and he had broken a fist full of laws in the past twelve hours. They needed to cash that check and disappear as soon as they could.
The bank put up a bit of a fuss about the check, which was one more reason Paul hated Bank of Fucking America. They always had some rule to screw a customer. But Chloe made a bunch of noise and actually jumped up and down at one point and eventually they walked out of the bank with a cashier's check.
Question: What happened after Chloe's team left the bulding?
Options:

A. not enough information

B. Greg's internet was up and running again.

C. All phone calls were roated.

D. Chloe's crew went to have lunch.",C,A|||B|||C|||D,quail,2487.0
i feel like i should be offended but yawwwn. What emotion does the writer express for the message?,anger,sadness|||joy|||love|||anger|||fear|||surprise,emotion,15509.0
"Go , and let my orders be executed . '' The minister 's son embarked in this old vessel , and thanks to favorable winds , at length reached his own country . In spite of the pitiable condition in which he returned they received him joyfully . `` I am the first to come back , '' said he to the King ; now fulfil your promise , and give me the princess in marriage . So they at once began to prepare for the wedding festivities . As to the poor princess , she was sorrowful and angry enough about it . The next morning , at daybreak , a wonderful ship with every sail set came to anchor before the town . The King happened at that moment to be at the palace window . `` What strange ship is this , '' he cried , `` that has a golden hull , silver masts , and silken sails , and who are the young men like princes who man it ? And do I not see St. Nicholas at the helm ? Go at once and invite the captain of the ship to come to the palace . '' His servants obeyed him , and very soon in came an enchantingly handsome young prince , dressed in rich silk , ornamented with pearls and diamonds . `` Young man , '' said the King , `` you are welcome , whoever you may be . Do me the favor to be my guest as long as you remain in my capital . '' `` Many thanks , sire , '' replied the captain , `` I accept your offer . '' `` My daughter is about to be married , '' said the King ; `` will you give her away ? '' `` I shall be charmed , sire . '' Soon after came the Princess and her betrothed . `` Why , how is this ? '' cried the young captain ; `` would you marry this charming princess to such a man as that ? '' `` But he is my prime XXXXX 's son ! ''

Which of the following options replaces XXXXX the best in the above story?
betrothed, daughter, diamonds, minister, offer, orders, palace, pearls, spite, vessel",minister,betrothed|||daughter|||diamonds|||minister|||offer|||orders|||palace|||pearls|||spite|||vessel,cbt,1964.0
"Question: what is the minimum age to quit school in indiana?

Additional details:   

Best answer: Well I'm sure that a lot of these people are going to tell what a mistake it is to drop out of school. I'm not! I encourage it for you. The reason being, that only a Moron would even consider such a thing. I sure can't see wasting hard earned tax dollars on a moron. So start flipping dem burgers and find you a place out at Barney's trailor park  and have a nice life. 

In this test, you need to classify the document into one of the following categories: Society & Culture, Science & Mathematics, Health, Education & Reference, Computers & Internet, Sports, Business & Finance, Entertainment & Music, Family & Relationships, Politics & Government.",Education & Reference,Society & Culture|||Science & Mathematics|||Health|||Education & Reference|||Computers & Internet|||Sports|||Business & Finance|||Entertainment & Music|||Family & Relationships|||Politics & Government,yahoo_answers_topics,36277.0
"What area of town is known for having brick row houses?

A. baltimore maryland

B. ghetto

C. city center

D. garden

E. england

The best answer is",B,A|||B|||C|||D|||E,cos_e,5484.0
"Sentence 1: These places belong to Spain ( since 2012 ) , Canada , Japan and some parts of the United States .
Sentence 2: These places belong to Canada , Japan ( since 2012 ) , Spain and some parts of the United States .
Question: Do Sentence 1 and Sentence 2 express the same meaning?",No,No|||Yes,paws,24750.0
"Read the following conversation and answer the question.

Woman: Oh, man. What happened here?

Man: What's wrong?

Woman: Someone ran a pen through the dryer, and now all of my clothes AND the dryer are a real mess.

Man: Ugh. Wow. That's rough. Well, I have to go. I'm playing tennis with Jacob in a few minutes.

Woman: NO! No way! Wait, wait. What about the mess?

Man: Well, uh, what clothes did you have in there?

Woman: I had two of my ...

Man: They weren't mine?! Uh ...

Woman: Listen. I had two of my new shirts, a pair of shorts, and some running socks, and one of your work shirts.

Man: No way!

Woman: And from the looks of the pen stain, you are the one who probably left a pen in your pocket from work.

Man: Oooh. Uh ...

Woman: Yeah.

Man: How do you know?

Woman: Here's the pen, and it has your company logo on it.

Man: Oh. Uh ...

Woman: So, look, here. Here's your phone.

Man: My phone? For what?

Woman: Call your friends and tell them you're going to be late. And try using this hairspray. It'll help get the ink stains out of the dryer.

Man: Oohhh. Well, yeah, I guess it was my fault. Um, how about if I take you to buy some new clothes after I get back?

Woman: Okay. I'd appreciate that, but please, be more careful next time.

Man: Okay. Sorry.

Woman: Love ya.

Question: What thing caused a mess in the dryer? 

- chewing gum

- a pen

- colored paper",a pen,chewing gum|||a pen|||colored paper,dream,3303.0
as simple and innocent a movie as you can imagine . this is a movie you can trust . What is the sentiment expressed by the reviewer for the movie?,positive,negative|||positive,rotten_tomatoes,1879.0
"Do you think the right answer to the question ""what can fire be used to do to an egg?"" is ""decorate it"", given that
 fire can be used to heat an egg?",No,Yes|||No,qasc,6233.0
"Which of the following better fits the description?

Is it that: 

John hated that he was bullied daily at work,

or rather: 

John loved that he was bullied daily at work?

Description: 

The two friends hated their job. He knew he must request a transfer.",John hated that he was bullied daily at work,John hated that he was bullied daily at work|||John loved that he was bullied daily at work,art,2603.0
"I know that the answer to the question ""According to Prescott, anti-Zionists claim that what was behind the September 11 attacks?"" is in ""In some countries anti-Masonry is often related to antisemitism and anti-Zionism. For example, In 1980, the Iraqi legal and penal code was changed by Saddam Hussein's ruling Ba'ath Party, making it a felony to ""promote or acclaim Zionist principles, including Freemasonry, or who associate [themselves] with Zionist organisations"". Professor Andrew Prescott of the University of Sheffield writes: ""Since at least the time of the Protocols of the Elders of Zion, antisemitism has gone hand in hand with anti-masonry, so it is not surprising that allegations that 11 September was a Zionist plot have been accompanied by suggestions that the attacks were inspired by a masonic world order""."". Can you tell me what it is?",a Zionist plot,,adversarial_qa,2404.0
"Pick the option in line with common sense to answer the question.
Question: Where is not likely to have a very formal dining area?
Options:

A. coming together

B. supper club

C. mall

D. cruise ship

E. home",C,A|||B|||C|||D|||E,cos_e,8614.0
"Darfur Governor Links Khartoum Plot with Rebels  GENEINA, Sudan (Reuters) - A senior Sudanese official  charged Sunday that a rebel group with which Khartoum is  negotiating to bring peace to the troubled Darfur region was  linked to an alleged coup plot uncovered last week. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",World politics,World politics|||Sports|||Business|||Science and technology,ag_news,40077.0
"Jordan published Bailey's blow by blow account of the bank robbery online.

Given the context: How would Bailey feel as a result?

Possible answers: famous for a whole day, terrible for lying, sorry they spoke out",famous for a whole day,famous for a whole day|||terrible for lying|||sorry they spoke out,social_iqa,16939.0
"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. Southern Cross Feature Film Company -  Southern Cross Feature Film Company was a short lived film production company that made some of Australia's most famous silent films mostly directed by Raymond Longford. One of the key figures behind it was Sir David Gordon.",Company,Company|||Educational Institution|||Artist|||Athlete|||Office Holder|||Mean Of Transportation|||Building|||Natural Place|||Village|||Animal|||Plant|||Album|||Film|||Written Work,dbpedia,24217.0
"Summary:

- 
'We strongly believe that the sentence passed does not reflect the horrific and senseless killing of our son,' said Robert Sebbage's mother after his killer was jailed 

Article:

By Damien Gayle PUBLISHED: 15:12 EST, 19 September 2012 | UPDATED: 04:04 EST, 21 September 2012 Tragic: Robert Sebbage was stabbed to death on the last night of his holiday on the Greek island of Zante The mother of a British teenager stabbed to death on his first foreign holiday today expressed her disappointment at the 11-year sentence handed to his killer. Robert Sebbage, 18, was stabbed to death by taxi driver Stelios Morfis in a melee during a rite of passage boys' trip to the Greek island of Zante. Four of his friends were also stabbed, with two suffering serious injuries.


Now that you've read the article, please write a new sentence to add to it.",'We take solace from the fact that Stelios Morfis was found guilty of taking our son's life and attacking four of his friends.,'We take solace from the fact that Stelios Morfis was found guilty of taking our son's life and attacking four of his friends.|||'We take solace from the fact that Damien Gayle was found guilty of taking our son's life and attacking four of his friends.|||'We take solace from the fact that British was found guilty of taking our son's life and attacking four of his friends.|||'We take solace from the fact that Zante was found guilty of taking our son's life and attacking four of his friends.|||'We take solace from the fact that Robert Sebbage was found guilty of taking our son's life and attacking four of his friends.|||'We take solace from the fact that Greek was found guilty of taking our son's life and attacking four of his friends.,record,33825.0
"Generate a question about the following movie plot: A man (Vin Diesel) wearing a sleeveless white undershirt and black hat is speaking in an thick Italian-American accent, with accompanying gestures and body movements. He says there are no good women out there, then tells a story. He took his girlfriend out to dinner and struck a stranger who seemed to have been flirting with her. Upon realizing the stranger was gay, he concluded that his girlfriend was flirting, took her outside and beat her. The storyteller concludes by expressing his confusion that she doesn't call anymore, re-enforcing his theme that there are no good girls available.Across the room, a man (Lewis Steidl) asks if Mike (the storyteller) can speak Italian. Mike repeats a few commonly-heard phrases. Holding up a headshot photo of Mike, he asks who Mike's agent is - it is clear that the story was an audition for an acting job. The man impassively says for Mike to call with the info, indicating the end of the interview. The woman (Cara Gaffen) sitting at the table stops Mike for a moment asking who wrote the monologue. Mike claims it is a true story.At a streetside payphone, Mike speaks with only a slight New York accent to his manager, assuring him that he followed his instruction to claim the monologue was a true story. As he speaks, he wipes his bicep with alcohol to remove a mark evidently placed to make him convincing in the role. He worries about the offensiveness of the story, complaining that such an attitude won't win an Oscar. He laughs into the phone and says Joe Pesci was different.Next Mike walks into a waiting room, encountering a black friend Ivan (Phillip Jones) who is also there to audition. As Mike dons a shirt and adds an earring, they discuss making commercials, a source of income for struggling actors. Mike says that real actors like Pacino and Denzel don't do them, while Ivan expresses willingness for any paying job. Mike relates his concerns about the offensive audition.They are interrupted by a black man (Ivan Jordain) who looks surprised at Mike's appearance. He...",What kind of routine does Mike launch into?,,duorc,428.0
"That night , however , it had not the same appearance as on the previous one ; it was less ugly . When all was quiet in the church , the smith lay down before the altar and slept calmly till the following morning , when the colonel came to fetch him . He was taken up to the king again , and things went on as the day before . He got his money , but would give no explanation whether he had seen the king 's daughter , and he would not take the post again , he said . But after he had got a good breakfast , and tasted well of the king 's wines , he undertook to go on guard again the third night , but he would not do it for less than the half of the kingdom , he said , for it was a dangerous post , and the king had to agree , and promise him this . The remainder of the day went like the previous one . He played the boastful soldier , and the merry smith , and he had comrades and boon-companions in plenty . At eight o'clock he had to put on his uniform again , and was shut up in the church . He had not been there for an hour before he had come to his senses , and thought , ` It 's best to stop now , while the game is going well . ' The third night , he was sure , would be the worst ; he had been drunk when he promised it , and the half of the kingdom , the king could never have been in earnest about that ! So he decided to leave , without waiting so long as on the previous nights . In that way he would escape the little man who had watched him before . All the doors and posterns were locked , but he finally though of creeping up to a window , and opening that , and as the clock struck nine , he crept out there . It was fairly high in the wall , but he got to the ground with no bones broken , and started to run . He got down to the shore without meeting anyone , and there he got into a boat , and pushed off from land . He laughed immensely to himself at the thought of how cleverly he had managed and how he had cheated the little man . Just then he heard a voice from the shore , ` Good evening , Christian , where are... The man then laid hold of him , and said , ` You must remain at your post , as you have promised , ' and whether he liked it or not , Christian had just to go back with him the whole way to the XXXXX .

Replace XXXXX with the correct option from:
church, colonel, evening, ground, half, king, senses, uniform, wall, wines",church,church|||colonel|||evening|||ground|||half|||king|||senses|||uniform|||wall|||wines,cbt,24625.0
"Generate a summary for this dialogue:
Seth: Hey! I'm having some problems with my PC, can you guys help me out?
Rory: Sure. What's going on?
Albert: yeah what's up?
Seth: It doesn't work. XD
Albert: xd
Rory: Well, does it turn on? Does it make a BEEP sound like normal?
Seth: Yeah it turns on, I can hear the fans, but it doesn't beep as usual :(.
Albert: does it make many beeps?
Seth: No, it doesn't beep at all :/.
Rory: Hmm... If it doesn't beep at all with the information about what's wrong with it take a look inside at the motherboard.
Rory: There should be some lights.
Seth: Ok...
Seth: Some lights blink in some order and then it stops at DRAM.
Albert: not good...
Rory: So it's having some problems with the memory. Try reseating the memory sticks (turn it off first!).
Albert: yeah, maybe they moved a little in the slot
Albert: also try different combinations of slots
Seth: Ok! I'll try some things and let you know!","Seth's computer doesn't beep. He follows Albert and Rory's advice and checks the motherboard.He discovers that some lights blink and then stop at DRAM. Seth will try reseating the memory sticks and different combinations of slots, and then let Albert and Rory know.",,samsum,6154.0
"Review text:
Quick, clean no muss no fuss, keeper!

Review score (between 1 and 5):",5,1|||2|||3|||4|||5,yelp,10751.0
"Review text:
Took 45 minutes to rent a car with only 1 person in live ahead of us. They were too busy trying to upsell. Good for their business, bad for customers. Problems checking car back in on return. Will never rent again.

Stars:",1 star,1 star|||2 stars|||3 stars|||4 stars|||5 stars,yelp,29710.0
"Nashville (CNN) -- There is a quiet hum in the air. Moments later, it's clear why. Ringo Starr sweeps in, and it feels like a cool breeze has washed over the room despite the sweltering 100-degree Southern summer heat outside. Ringo Starr still rocking out at 72 His apparel is basic but he exudes ""rock star"" -- strolling in wearing a pinstriped blazer, a T-shirt, dark jeans and sneakers. Two silver pendants adorn his neck: The longer of the two is a signature peace sign; the other, fashioned from a 45 LP adapter that was immediately given to him when he remarked to its former owner how much he liked it.

- 
Ringo Starr turned 72 on Saturday

- 
The former Beatles drummer calls for ""peace and love""

- 
Starr celebrates his birthday at the Hard Rock Cafe in Nashville","- ""This has just been my dream for so long to see a living Beatles in person, and Ringo is just the best!""","- ""This has just been my dream for so long to see a living Ringo Starr in person, and Ringo is just the best!""|||- ""This has just been my dream for so long to see a living CNN in person, and Ringo is just the best!""|||- ""This has just been my dream for so long to see a living Hard Rock Cafe in person, and Ringo is just the best!""|||- ""This has just been my dream for so long to see a living Southern in person, and Ringo is just the best!""|||- ""This has just been my dream for so long to see a living Beatles in person, and Ringo is just the best!""|||- ""This has just been my dream for so long to see a living Nashville in person, and Ringo is just the best!""|||- ""This has just been my dream for so long to see a living Starr in person, and Ringo is just the best!""",record,19598.0
"A beaver can destroy a machines functionality if they build their dam in this?
Choose the most suitable option to answer the above question.
Options:
- strip club
- pocket
- millpond
- ontario
- lake or river",millpond,strip club|||pocket|||millpond|||ontario|||lake or river,cos_e,3376.0
"Annie sometimes felt puzzled by the relationship between her parents.
They never seemed to show much love for each other. Annie believed that people who were in love would show it. They would hold hands, speak sweet words to each other and give each other nice gifts. Annie's parents did none of these things. So, she doubted whether they really loved each other.
It was Annie's plan to ask her parents about their feelings for each other. But it was hard to find the right moment. One Saturday afternoon, she noticed that her dad was in the garage, doing some work on the engine of his sports car.
Annie's dad was always in a good mood when he was near his sports car, so she decided to ask him the question that had been bothering her."" Dad, do you and Mom really love each other?""
""Of course,"" her father replied. ""Why do you ask?""
""Well, you never seem to show it.""
Annie's father was silent for a while, he spoke again. ""Look at the engine of this car,"" he said. ""It is oily and messy, and the car looks much better when the hood   is down. Don't you agree?"" Without waiting for a reply, he went on. ""If I took out the engine and put the hood back down, the car would look just as beautiful, right? But it wouldn't be a car anymore. The engine is its beating heart. You don't usually see it, but it has to be there. It's the same with your Mom and me. Our love for each other is the beating heart of this family. Don't worry just because it isn't on show all the time. ""
About six months later, Annie's father lost his job. The family had to cut back on many things to make ends meet.  And he had to sell his beloved sports car. But Annie noticed another change. Because he had more free time, her father spent more of it with her mother. They seemed to grow closer together, and showed their love more often. Their love, which Annie had been afraid did not exist, was plain to see. Annie was sad that the sports car had gone, but at least she understood what her father had told her that day.
What did Annie's father compare his love to?
A) A job.
B) A story.
C) A gift.
D) An engine.",D,A|||B|||C|||D,race,10789.0
"Question: where did world war 1 start?
Would ""World War I (WWI) was a global war centred in Europe that began on 28 July 1914 and lasted until 11 November 1918."" be a reasonable answer?",No,No|||Yes,wiki_qa,13465.0
"Special Report: The Technology of Business
Mobile brightening Africa's future
Can we 'green' our toxic buildings?
War on waste helps businesses profit
Is cloud business greener business?
Car tech driving a greener future
The costs of providing health services to ageing populations in developed economies are spiralling out of control, while resource depletion in developing economies is threatening the health of millions.
The global healthcare bill is now thought to top $6.5 trillion (£3.9tn) a year.
A key to more sustainable healthcare is encouraging people to take more control of their own health through the use of mobile and telehealth technologies, many experts and technology companies believe.
Consultancy PwC says the European Union (EU) alone could save 99bn euros (£80bn; $135bn) by 2017 if it adopted more mobile health - or ""m-health"" - solutions.
Efficiency gains from the better use of technology could allow 24 million more patients to be treated with the same number of doctors and healthcare facilities, the report concludes.
And about 93bn euros could be added to the EU's economic output if 18 million people with - or at risk from - chronic disease were helped to extend their working lives, it says.
The popularity of smartphones, wearable gadgets and apps that can measure and record exercise levels, heart rate and calories burned, proves that many people are prepared to pay for technology that may benefit their health, says Steven Dodsworth, chief executive of digital healthcare consultancy D Health.
""Rather than producing expensive devices that are used in hospitals, we need technology products that people want, value and can afford,"" he says.
""They should be sold in consumer electronics shops, High Street pharmacies and supermarkets.""
Samsung recently announced its latest wearable prototype health monitor - the Simband - as well as plans to develop a health data sharing platform, and many other technology companies are expanding into this lucrative space.
Mobile gives people access to information...

===

Given the above document, write one sentence to summarize:",There is a pressing need for more sustainable healthcare systems around the world.,,xsum,42875.0
"Put the concepts together to form a sentence: stuff, cheese, shell.",goat cheese stuffed shells with asparagus and peas,,common_gen,26772.0
"Portsmouth, New Hampshire (CNN) -- At 3:30 a.m., Stefany Shaheen awoke to a feeling of uneasiness. Something was not quite right with her daughter, Elle. Creeping into her bedroom, Shaheen removed a lancet from its wrapper and poked her diabetic daughter's finger. Putting the blood onto the testing strip, she saw the results: dangerously low blood sugar. Shaheen woke Elle up and gave her orange juice to keep her from slipping into unconsciousness. Shaheen was relieved her motherly intuition had told her something was wrong with Elle that night, but she wished she didn't have to rely on it. She yearned for an automatic way of knowing when Elle was dipping into a dangerously high or low blood sugar -- and not just at night, but at school, where the 12-year-old is largely responsible for monitoring her own blood sugar.


Summary:

- 
Juvenile Diabetes Research Foundation funding 13 artificial pancreas trials

- 
In the future, the device will be the size of a cell phone, attached to a belt

- 
Algorithms determine how much insulin and Glucagon the patient needs",- It was Elle who urged her mother to enroll her in an artificial pancreas study.,- It was CNN who urged her mother to enroll her in an artificial pancreas study.|||- It was Portsmouth who urged her mother to enroll her in an artificial pancreas study.|||- It was Stefany Shaheen who urged her mother to enroll her in an artificial pancreas study.|||- It was Elle who urged her mother to enroll her in an artificial pancreas study.|||- It was Shaheen who urged her mother to enroll her in an artificial pancreas study.|||- It was Glucagon who urged her mother to enroll her in an artificial pancreas study.|||- It was New Hampshire who urged her mother to enroll her in an artificial pancreas study.|||- It was Juvenile Diabetes Research Foundation who urged her mother to enroll her in an artificial pancreas study.,record,10935.0
"Dialogue:

M: Someone has stolen my car! I want to report it. The name is Walton-Harry Walton.

W: Where did you leave your car, Mr. Walton?

M: In Ludlow Street. Near the traffic lights.

W: Did you leave your car unlocked?

M: Of course not.

W: And what time was this?

M: This morning. I parked it there before I went to work.

W: When do you start work?

M: At nine thirty. But I got in early today. I started at seven.

W: That explains it.

M: What do you mean?

W: We have taken away your car. You can't park your car in Ludlow Street before ten on Friday.

Question: What day was that day? 

- Friday.

- Weekend.

- We don't know.",Friday.,Friday.|||Weekend.|||We don't know.,dream,4521.0
